isrun,idmachine,namemachine,nameeng,sizemachine,capacity,Power,point,model,nummachine,usejob,capability,manufacturer,machineinclude,genration,energy,create_date,create_by,update_date,update_by,division,machinegroupid,fis_refcode,out
73,KI1-EM-TRF-0012,หม้อแปลงจ่ายบ้านพักพนักงาน,Transformer for Staff House,319,269,200,จ่ายบ้านพักพนักงาน,,930201219,จ่ายบ้านพักพนักงาน,,ANSI,,,,10/12/2020,Admin,,,20,327,,
74,KI1-EM-TRF-0013,หม้อแปลงจ่ายหม้อปั่นA3,Transformer for Centrifugal A3,324,270,200,จ่ายหม้อปั่นA3,,93781,จ่ายหม้อปั่นA3,,เจริญชัย,,,,10/12/2020,Admin,,,20,327,,
75,KI1-EM-TRF-0014,หม้อแปลงจ่ายคลูลิ่งนอก,Transformer for Cooling Tower,324,262,200,คลูลิ่งนอก,,211030930,คลูลิ่งนอก,,ไทยแมกซ์เวล,,,,10/12/2020,Admin,,,20,327,,
76,KI1-EM-TRF-0015,หม้อแปลงรับไฟจาก BIOGAS+TR14 จ่ายคลูลิ่งนอก ,Transformer for Cooling Tower,324,271,200,รับไฟจาก BIOGAS+TR14 จ่ายคลูลิ่งนอก ,,71634,รับไฟจาก BIOGAS+TR14 จ่ายคลูลิ่งนอก ,,ไทยพัฒนกิจ,,,,10/12/2020,Admin,,,20,327,,
77,KI1-EM-TRF-0017,หม้อแปลงจ่ายโรงกรองน้ำ RO,Transformer for RO Water Plant,324,262,200,โรงกรองน้ำ RO,,211030929,โรงกรองน้ำ RO,,ไทยแมกซ์เวล,,,,10/12/2020,Admin,,,20,327,,
78,KI1-EM-TRF-0019,หม้อแปลงจ่ายอาคารไฟฟ้า โรงกลึง ยานยนต์,Transformer for Machine Workshop & EE Workshop,321,272,200,อาคารไฟฟ้า โรงกลึง ยานยนต์,,77837,อาคารไฟฟ้า โรงกลึง ยานยนต์,,ไทยพัฒนกิจ,,,,10/12/2020,Admin,,,20,327,,
79,KI1-EM-TRF-0021,หม้อแปลงจ่ายมอเตอร์ลูกหีบชุด 3- ชุด 5,Transformer,329,261,202,จ่ายมอเตอร์ขับลูกหีบ,,64371,จ่ายมอเตอร์ขับลูกหีบ,,ไทยพัฒนกิจ,,,,10/12/2020,Admin,,,20,327,,
80,KI1-EM-TRF-0022,หม้อแปลง ulity มอเตอรืขับลูกหีบ,"Transformer for Utility of  Medium Voltage Motor Mill3, 5",320,273,201,Utility มอเตอร์ขับลูกหีบ,,64372,Utility มอเตอร์ขับลูกหีบ,,ไทยพัฒนกิจ,,,,10/12/2020,Admin,,,20,327,,
81,KI1-EM-TRF-0023,หม้อแปลงจ่ายกลุ่มโหลดสะพานไซด์,Transformer for Side Carrier,322,274,200,กลุ่มโหลดสะพานไซด์,,211030926,กลุ่มโหลดสะพานไซด์,,ไทยแมกซ์เวล,,,,10/12/2020,Admin,,,20,327,,
82,KI1-EM-TRF-0031,"หม้อแปลงจ่ายปั้มน้ำดิบ + โกดัง 5,7","Transformer for Raw Water Pump & Silo 5, 7",320,275,200,"จ่ายปั้มน้ำดิบ + โกดัง 5,7",,211030924,"จ่ายปั้มน้ำดิบ + โกดัง 5,7",,ไทยแมกซ์เวล,,,,10/12/2020,Admin,,,20,327,,
83,KI1-EM-TRF-0034,หม้อแปลงจ่ายโรงแก๊ส WETSCSUBBER,Transformer for Wet Scrubber,324,271,200,จ่ายโรงแก๊ส WETSCSUBBER,,58130354EE,จ่ายโรงแก๊ส WETSCSUBBER,,เอกรัฐ,,,,10/12/2020,Admin,,,20,327,,
84,KI1-EM-TRF-0035,หม้อแปลงจ่ายโรงสับเปลือกไม้,Transformer for Woodship Plant,322,277,200,โรงสับเปลือกไม้,,211030925,โรงสับเปลือกไม้,,ไทยแมกซ์เวล,,,,10/12/2020,Admin,,,20,327,,
85,KI1-EM-TRF-1201,หม้อแปลงจ่ายออฟฟิต,Transformer,319,278,200,จ่ายออฟฟิต,,31456,จ่ายออฟฟิต,,เจริญชัย,,,,10/12/2020,Admin,,,20,327,,
86,KI1-EM-TRF-3101,หม้อแปลงบ่อน้ำดิบ 1,Transformer for Raw Water Pump,320,279,203,บ่อน้ำดิบ 1,,56117976EE,บ่อน้ำดิบ 1,,เอกรัฐ,,,,10/12/2020,Admin,,,20,327,,
87,KI1-EM-TRF-3102,หม้อแปลงบ่อน้ำดิบ 1,Transformer for Raw Water Pump,320,279,203,บ่อน้ำดิบ 1,,81112,บ่อน้ำดิบ 1,,ไทยพัฒน์,,,,10/12/2020,Admin,,,20,327,,
88,KI1-EM-TRF-3103,หม้อแปลงบ่อหมักไร้อากาศ 3,Transformer for Digester,319,280,203,บ่อหมักไร้อากาศ 3,,81111,บ่อหมักไร้อากาศ 3,,ไทยพัฒน์,,,,10/12/2020,Admin,,,20,327,,
89,KI1-EM-TRF-3104,หม้อแปลงบ่อรับน้ำจากคลองจักราช,Transformer for Raw Water Plant,321,276,203,บ่อรับน้ำจากครองจักราช,,83397,บ่อรับน้ำจากครองจักราช,,ไทยพัฒน์,,,,10/12/2020,Admin,,,20,327,,
90,KI1-EM-TRF-3105,หม้อแปลงบ่อน้ำดิบ 3 No001,Transformer for Raw Water Pump,319,281,203,บ่อน้ำดิบ 3 No.1,,56013,บ่อน้ำดิบ 3 No.1,,ไทยพัฒน์,,,,10/12/2020,Admin,,,20,327,,
91,KI1-EM-TRF-3106,หม้อแปลงสระเติมอากาศ,Transformer for Aeration,319,282,203,สระเติมอากาศ,,OT-3842,สระเติมอากาศ,,LAMOOL,,,,10/12/2020,Admin,,,20,327,,
92,KI1-EM-TRF-3107,หม้อแปลงบ่อน้ำดิบ 2,Transformer for Raw Water Pump,319,280,203,บ่อน้ำดิบ 2,,81108,บ่อน้ำดิบ 2,,ไทยพัฒน์,,,,10/12/2020,Admin,,,20,327,,
93,KI1-EM-TRF-3108,หม้อแปลงตาชั่งโรงปุ๋ยใหม่,Transformer for Weight Scale of Filter cake,319,280,203,ตาชั่งโรงปุ๋ยใหม่,,81109,ตาชั่งโรงปุ๋ยใหม่,,ไทยพัฒน์,,,,10/12/2020,Admin,,,20,327,,
94,KI1-EM-TRF-3109,หม้อแปลงโรงปุ๋ยใหม่,Transformer for Filter cake Plant,320,283,203,โรงปุ๋ยใหม่,,61146202EE,โรงปุ๋ยใหม่,,เอกรัฐ,,,,10/12/2020,Admin,,,20,327,,
95,KI1-EM-TRF-3110,หม้อแปลงบ่อหมักไร้อากาศ 4,Transformer for Digester,317,284,203,บ่อหมักไร้อากาศ 4,,86175,บ่อหมักไร้อากาศ 4,,TRANSFORMER,,,,10/12/2020,Admin,,,20,327,,
96,KI1-EM-TRF-3111,หม้อแปลงบ่อแฟคคัลเททีฟ 2,Transformer for Facultative pond,319,280,203,บ่อแฟคคัลเททีฟ 2,,81110,บ่อแฟคคัลเททีฟ 2,,ไทยพัฒน์,,,,10/12/2020,Admin,,,20,327,,
97,KI1-EM-TRF-E001,หม้อแปลงจ่าย BIO GAS + PEA ห้วยแถลง,หม้อแปลงจ่าย BIO GAS + PEA ห้วยแถลง,324,292,199,BIO GAS + PEA ห้วยแถลง,,45611,BIO GAS + PEA ห้วยแถลง,,สหพัฒนกิจ,,,,10/12/2020,Admin,,,20,327,,
